ID,duration,wav,spk_id,wrd
3607-135982-0000,6.76,../data/librilight/librispeech_finetuning/1h/0/clean/3607/135982/3607-135982-0000.flac,3607,THE CARS CAME SCUDDING IN TOWARDS DUBLIN RUNNING EVENLY LIKE PELLETS IN THE GROOVE OF THE NAAS ROAD
3607-135982-0001,14.465,../data/librilight/librispeech_finetuning/1h/0/clean/3607/135982/3607-135982-0001.flac,3607,CAREERING HOMEWARD AND THROUGH THIS CHANNEL OF POVERTY AND INACTION THE CONTINENT SPED ITS WEALTH AND INDUSTRY NOW AND AGAIN THE CLUMPS OF PEOPLE RAISED THE CHEER OF THE GRATEFULLY OPPRESSED THEIR SYMPATHY HOWEVER WAS FOR THE BLUE CARS
3607-135982-0002,13.34,../data/librilight/librispeech_finetuning/1h/0/clean/3607/135982/3607-135982-0002.flac,3607,THE CARS OF THEIR FRIENDS THE FRENCH THE FRENCH MOREOVER WERE VIRTUAL VICTORS THEIR TEAM HAD FINISHED SOLIDLY THEY HAD BEEN PLACED SECOND AND THIRD AND THE DRIVER OF THE WINNING GERMAN CAR WAS REPORTED A BELGIAN
3607-135982-0003,16.04,../data/librilight/librispeech_finetuning/1h/0/clean/3607/135982/3607-135982-0003.flac,3607,EACH BLUE CAR THEREFORE RECEIVED A DOUBLE MEASURE OF WELCOME AS IT TOPPED THE CREST OF THE HILL AND EACH CHEER OF WELCOME WAS ACKNOWLEDGED WITH SMILES AND NODS BY THOSE IN THE CAR IN ONE OF THESE TRIMLY BUILT CARS WAS A PARTY OF FOUR YOUNG MEN WHOSE SPIRITS SEEMED TO BE AT PRESENT
3607-135982-0004,13.465,../data/librilight/librispeech_finetuning/1h/0/clean/3607/135982/3607-135982-0004.flac,3607,IN FACT THESE FOUR YOUNG MEN WERE ALMOST HILARIOUS THEY WERE CHARLES SEGOUIN THE OWNER OF THE CAR ANDRE RIVIERE A YOUNG ELECTRICIAN OF CANADIAN BIRTH A HUGE HUNGARIAN NAMED VILLONA
3607-135982-0005,11.385,../data/librilight/librispeech_finetuning/1h/0/clean/3607/135982/3607-135982-0005.flac,3607,AND A NEATLY GROOMED YOUNG MAN NAMED DOYLE SEGOUIN WAS IN GOOD HUMOUR BECAUSE HE HAD UNEXPECTEDLY RECEIVED SOME ORDERS IN ADVANCE HE WAS ABOUT TO START A MOTOR ESTABLISHMENT IN PARIS
3607-135982-0006,15.685,../data/librilight/librispeech_finetuning/1h/0/clean/3607/135982/3607-135982-0006.flac,3607,AND RIVIERE WAS IN GOOD HUMOUR BECAUSE HE WAS TO BE APPOINTED MANAGER OF THE ESTABLISHMENT THESE TWO YOUNG MEN WHO WERE COUSINS WERE ALSO IN GOOD HUMOUR BECAUSE OF THE SUCCESS OF THE FRENCH CARS VILLONA WAS IN GOOD HUMOUR BECAUSE HE HAD HAD A VERY SATISFACTORY LUNCHEON
3607-135982-0007,14.52,../data/librilight/librispeech_finetuning/1h/0/clean/3607/135982/3607-135982-0007.flac,3607,AND BESIDES HE WAS AN OPTIMIST BY NATURE THE FOURTH MEMBER OF THE PARTY HOWEVER WAS TOO EXCITED TO BE GENUINELY HAPPY HE WAS ABOUT TWENTY SIX YEARS OF AGE WITH A SOFT LIGHT BROWN MOUSTACHE AND RATHER INNOCENT LOOKING GREY EYES
3607-135982-0008,14.035,../data/librilight/librispeech_finetuning/1h/0/clean/3607/135982/3607-135982-0008.flac,3607,HIS FATHER WHO HAD BEGUN LIFE AS AN ADVANCED NATIONALIST HAD MODIFIED HIS VIEWS EARLY HE HAD MADE HIS MONEY AS A BUTCHER IN KINGSTOWN AND BY OPENING SHOPS IN DUBLIN AND IN THE SUBURBS HE HAD MADE HIS MONEY MANY TIMES OVER
3607-135982-0009,14.785,../data/librilight/librispeech_finetuning/1h/0/clean/3607/135982/3607-135982-0009.flac,3607,HE HAD ALSO BEEN FORTUNATE ENOUGH TO SECURE SOME OF THE POLICE CONTRACTS AND IN THE END HE HAD BECOME RICH ENOUGH TO BE ALLUDED TO IN THE DUBLIN NEWSPAPERS AS A MERCHANT PRINCE HE HAD SENT HIS SON TO ENGLAND TO BE EDUCATED IN A BIG CATHOLIC COLLEGE
3607-135982-0010,15.075,../data/librilight/librispeech_finetuning/1h/0/clean/3607/135982/3607-135982-0010.flac,3607,AND HAD AFTERWARDS SENT HIM TO DUBLIN UNIVERSITY TO STUDY LAW JIMMY DID NOT STUDY VERY EARNESTLY AND TOOK TO BAD COURSES FOR A WHILE HE HAD MONEY AND HE WAS POPULAR AND HE DIVIDED HIS TIME CURIOUSLY BETWEEN MUSICAL AND MOTORING CIRCLES
3607-135982-0011,6.505,../data/librilight/librispeech_finetuning/1h/0/clean/3607/135982/3607-135982-0011.flac,3607,HIS FATHER REMONSTRATIVE BUT COVERTLY PROUD OF THE EXCESS HAD PAID HIS BILLS AND BROUGHT HIM HOME
4262-14486-0000,10.4,../data/librilight/librispeech_finetuning/1h/0/other/4262/14486/4262-14486-0000.flac,4262,HE KNEW WHERE THE DOE MADE A COUCH FOR HER FAWN AND HE LOOKED TO HIS STRENGTH FOR HIS PREY BUT THE MOON SWEPT THE SMOKE WREATHS AWAY
4262-14486-0001,13.04,../data/librilight/librispeech_finetuning/1h/0/other/4262/14486/4262-14486-0001.flac,4262,AND HE TURNED FROM HIS MEAL IN THE VILLAGER'S CLOSE AND HE BAYED TO THE MOON AS SHE ROSE IN SEONEE WELL AND HOW DOES SUCCESS TASTE
4262-14486-0002,15.04,../data/librilight/librispeech_finetuning/1h/0/other/4262/14486/4262-14486-0002.flac,4262,SAID TORPENHOW SOME THREE MONTHS LATER HE HAD JUST RETURNED TO CHAMBERS AFTER A HOLIDAY IN THE COUNTRY GOOD SAID DICK AS HE SAT LICKING HIS LIPS BEFORE THE EASEL IN THE STUDIO I WANT MORE HEAPS MORE
4262-14486-0003,9.375,../data/librilight/librispeech_finetuning/1h/0/other/4262/14486/4262-14486-0003.flac,4262,THE LEAN YEARS HAVE PASSED AND I APPROVE OF THESE FAT ONES BE CAREFUL OLD MAN THAT WAY LIES BAD WORK
4262-14486-0004,14.25,../data/librilight/librispeech_finetuning/1h/0/other/4262/14486/4262-14486-0004.flac,4262,TORPENHOW WAS SPRAWLING IN A LONG CHAIR WITH A SMALL FOX TERRIER ASLEEP ON HIS CHEST WHILE DICK WAS PREPARING A CANVAS A DAIS A BACKGROUND AND A LAY FIGURE WERE THE ONLY FIXED OBJECTS IN THE PLACE
4262-14486-0005,14.195,../data/librilight/librispeech_finetuning/1h/0/other/4262/14486/4262-14486-0005.flac,4262,THEY ROSE FROM A WRECK OF ODDMENTS THAT BEGAN WITH FELT COVERED WATER BOTTLES BELTS AND REGIMENTAL BADGES AND ENDED WITH A SMALL BALE OF SECOND HAND UNIFORMS AND A STAND OF MIXED ARMS
4262-14486-0006,14.1,../data/librilight/librispeech_finetuning/1h/0/other/4262/14486/4262-14486-0006.flac,4262,THE MARK OF MUDDY FEET ON THE DAIS SHOWED THAT A MILITARY MODEL HAD JUST GONE AWAY THE WATERY AUTUMN SUNLIGHT WAS FALLING AND SHADOWS SAT IN THE CORNERS OF THE STUDIO YES
4262-14486-0007,16.86,../data/librilight/librispeech_finetuning/1h/0/other/4262/14486/4262-14486-0007.flac,4262,SAID DICK DELIBERATELY I LIKE THE POWER I LIKE THE FUN I LIKE THE FUSS AND ABOVE ALL I LIKE THE MONEY I ALMOST LIKE THE PEOPLE WHO MAKE THE FUSS AND PAY THE MONEY ALMOST BUT THEY'RE A QUEER GANG AN AMAZINGLY QUEER GANG
4262-14486-0008,15.28,../data/librilight/librispeech_finetuning/1h/0/other/4262/14486/4262-14486-0008.flac,4262,DID YOU SEE THAT THE PAPERS CALLED IT THE WILD WORK SHOW NEVER MIND I SOLD EVERY SHRED OF CANVAS I WANTED TO AND ON MY WORD I BELIEVE IT WAS BECAUSE THEY BELIEVED I WAS A SELF TAUGHT FLAGSTONE ARTIST
4262-14486-0009,15.08,../data/librilight/librispeech_finetuning/1h/0/other/4262/14486/4262-14486-0009.flac,4262,LIMITED ISN'T THE WORD TO DESCRIBE EM I MET A FELLOW THE OTHER DAY WHO TOLD ME THAT IT WAS IMPOSSIBLE THAT SHADOWS ON WHITE SAND SHOULD BE BLUE ULTRAMARINE AS THEY ARE I FOUND OUT LATER THAT THE MAN HAD BEEN AS FAR AS BRIGHTON BEACH
4262-14486-0010,13.17,../data/librilight/librispeech_finetuning/1h/0/other/4262/14486/4262-14486-0010.flac,4262,BUT HE KNEW ALL ABOUT ART CONFOUND HIM HE GAVE ME A LECTURE ON IT AND RECOMMENDED ME TO GO TO SCHOOL TO LEARN TECHNIQUE I WONDER WHAT OLD KAMI WOULD HAVE SAID TO THAT
6506-10073-0000,4.075,../data/librilight/librispeech_finetuning/1h/0/other/6506/10073/6506-10073-0000.flac,6506,CHAPTER NINETEEN DICK TAKES HIS FINAL LEAVE
6506-10073-0001,2.74,../data/librilight/librispeech_finetuning/1h/0/other/6506/10073/6506-10073-0001.flac,6506,HE WAS NOT ALTOGETHER SATISFIED WITH IT
6506-10073-0002,12.345,../data/librilight/librispeech_finetuning/1h/0/other/6506/10073/6506-10073-0002.flac,6506,BUT THE LADY SEEMED TO HESITATE AND ASKED FOR A WEEK TO THINK ABOUT IT THIS SHOWED SO MUCH INGRATITUDE ON HER PART WAS SO POOR AN ACKNOWLEDGMENT OF THE POSITION WHICH HE HAD OFFERED HER THAT HE WAS INCLINED TO BE INDIGNANT
6506-10073-0003,14.38,../data/librilight/librispeech_finetuning/1h/0/other/6506/10073/6506-10073-0003.flac,6506,IF SHE DON'T CARE ABOUT IT SHE SHA'N'T HAVE IT IT WAS THUS THAT HE EXPRESSED HIMSELF ALOUD IN THE HEARING OF DICK ROSS BUT WITHOUT HOWEVER EXPLAINING WHO THE SHE WAS OR WHAT THE IT WAS OR INDEED IN ANY WAY ASKING DICK'S OPINION ON THE MATTER
6506-10073-0004,15.095,../data/librilight/librispeech_finetuning/1h/0/other/6506/10073/6506-10073-0004.flac,6506,HAD SHE EXPRESSED HER WARM AFFECTION AND AT ONCE ACCEPTED ALL THAT HAD BEEN PROFFERED THE GENTLEMAN WOULD PROBABLY HAVE LEARNT AT ONCE TO DESPISE THAT WHICH HAD BEEN OBTAINED SO EASILY AS IT WAS HE WAS SIMPLY CROSS AND THOUGHT THAT HE HAD DETERMINED TO WITHDRAW THE PROPOSAL
6506-10073-0005,13.63,../data/librilight/librispeech_finetuning/1h/0/other/6506/10073/6506-10073-0005.flac,6506,BUT STILL THE OTHER LETTER WAS TO COME AND MISS ALTIFIORLA'S CHANCE WAS STILL OPEN TO HER THE IMMEDIATE CONSEQUENCE OF THESE DOUBTS IN THE MIND OF SIR FRANCIS WAS A POSTPONEMENT OF THE VERDICT OF BANISHMENT WHICH HE HAD RESOLVED TO PRONOUNCE AGAINST DICK
6506-10073-0006,15.585,../data/librilight/librispeech_finetuning/1h/0/other/6506/10073/6506-10073-0006.flac,6506,AS SOON AS HIS MARRIAGE WITH MISS ALTIFIORLA SHOULD HAVE BEEN SETTLED HE DID NOT WISH TO LEAVE HIMSELF ALTOGETHER ALONE IN THE WORLD AND IF THIS DICK WERE DISMISSED IT WOULD BE NECESSARY THAT HE SHOULD PROVIDE HIMSELF WITH ANOTHER UNLESS HE WERE MINDED TO PROVIDE HIMSELF WITH A WIFE INSTEAD
6506-10073-0007,8.635,../data/librilight/librispeech_finetuning/1h/0/other/6506/10073/6506-10073-0007.flac,6506,HE BECAME THEREFORE GRADUALLY MORE GRACIOUS AFTER THE LITTLE SPEECH WHICH HAS BEEN ABOVE GIVEN DICK HAD UNDERSTOOD PERFECTLY WHO THE SHE HAD BEEN
6506-10073-0008,3.73,../data/librilight/librispeech_finetuning/1h/0/other/6506/10073/6506-10073-0008.flac,6506,AS NO QUESTION HAD BEEN ASKED HE HAD MADE NO REPLY
6506-10073-0009,14.325,../data/librilight/librispeech_finetuning/1h/0/other/6506/10073/6506-10073-0009.flac,6506,HE DESPISED THE BARONET ALMOST AS THOROUGHLY AS DID MISTER WESTERN BUT FOR CERTAIN PURPOSES AS TO WHICH HE DESPISED HIMSELF ALSO THE FRIENDSHIP OF THE BARONET SUITED HIM JUST AT PRESENT ONE MORNING FOR PRIVATE REASONS OF HIS OWN
6506-10073-0010,14.255,../data/librilight/librispeech_finetuning/1h/0/other/6506/10073/6506-10073-0010.flac,6506,DICK WENT INTO PERTH WHICH WAS TWENTY MILES DISTANT FROM THE BARONET'S SHOOTING LODGE AND RETURNED THE SAME DAY BRINGING THE POSTBAG WITH HIM FROM A POINT IN THE ROAD AT WHICH IT WAS DAILY LEFT BY THE POSTMAN SIR FRANCIS WITH UNUSUAL HASTE READ HIS LETTERS
6506-10073-0011,14.835,../data/librilight/librispeech_finetuning/1h/0/other/6506/10073/6506-10073-0011.flac,6506,AND AMONG THEM WAS ONE FROM MISS ALTIFIORLA BUT DICK HAD A BUDGET OF NEWS WHICH HE WAS ANXIOUS TO REVEAL AND WHICH HE DID TELL BEFORE SIR FRANCIS HAD SAID ANYTHING AS TO HIS OWN LETTER THERE WAS ANOTHER FRIEND ONE CAPTAIN FAWKES AT THE LODGE WITH THEM
6506-10073-0012,14.21,../data/librilight/librispeech_finetuning/1h/0/other/6506/10073/6506-10073-0012.flac,6506,AND DICK HAD AT FIRST BEEN RESTRAINED BY THIS MAN'S PRESENCE AS SOON AS HE FOUND HIMSELF ALONE WITH SIR FRANCIS HE BEGAN LADY GRANT HAS GONE OFF TO DRESDEN HE SAID WHERE DID YOU HEAR THAT ASKED THE BARONET THEY TOLD ME SO AT THE CLUB
6506-10073-0013,14.485,../data/librilight/librispeech_finetuning/1h/0/other/6506/10073/6506-10073-0013.flac,6506,AND WHY WHAT BUSINESS IS IT OF THEIRS SINCE YOU KNOW SO MUCH ABOUT IT WHY HAS SHE GONE TO PERSUADE HER BROTHER TO COME HOME AND TAKE HIS WIFE ONCE MORE IT WAS AN INFERNAL SHAME THAT THEY SHOULD EVER HAVE BEEN SEPARATED
6415-100596-0000,5.49,../data/librilight/librispeech_finetuning/1h/1/clean/6415/100596/6415-100596-0000.flac,6415,THE ELUSIVE KATE FERRIS THE MYSTERIOUS KATE FERRIS
6415-100596-0001,14.11,../data/librilight/librispeech_finetuning/1h/1/clean/6415/100596/6415-100596-0001.flac,6415,FOR A WHOLE SEMESTER ENTERED UPON HER COLLEGE CAREER IN AN ENTIRELY UNPREMEDITATED AND IMPROMPTU MANNER IT BEGAN ONE DAY AWAY BACK IN NOVEMBER
6415-100596-0002,15.885,../data/librilight/librispeech_finetuning/1h/1/clean/6415/100596/6415-100596-0002.flac,6415,GEORGIE STOPPED TO EXAMINE SOME LOOSE SHEETS OF PAPER WHICH WERE IMPALED UPON THE DOOR WHAT'S THIS PATTY OH THAT'S THE REGISTRATION LIST FOR THE GERMAN CLUB PRISCILLA'S SECRETARY YOU KNOW AND EVERY ONE WHO WANTS TO JOIN COMES HERE
6415-100596-0003,14.815,../data/librilight/librispeech_finetuning/1h/1/clean/6415/100596/6415-100596-0003.flac,6415,THE STUDY HAS BEEN SO FULL OF FRESHMEN ALL THE TIME THAT I TOLD HER TO HANG IT ON THE DOOR AND LET THEM JOIN OUTSIDE IT WORKS BEAUTIFULLY PATTY TURNED THE LEAVES AND RAN HER EYES DOWN THE LIST OF SPRAWLING SIGNATURES IT'S A POPULAR ORGANIZATION ISN'T IT
6415-100596-0004,14.175,../data/librilight/librispeech_finetuning/1h/1/clean/6415/100596/6415-100596-0004.flac,6415,THE FRESHMEN ARE SIMPLY SCRAMBLING TO GET IN THEY'RE TRYING TO SHOW FRAEULEIN SCHERIN HOW MUCH INTEREST THEY TAKE IN THE SUBJECT GEORGIE LAUGHED PATTY PICKED UP THE PENCIL WOULD YOU LIKE TO JOIN
6415-100596-0005,15.915,../data/librilight/librispeech_finetuning/1h/1/clean/6415/100596/6415-100596-0005.flac,6415,I KNOW PRISCILLA WOULD BE GRATIFIED NO THANK YOU I PAY CLUB DUES ENOUGH ALREADY I'M AFRAID I'M NOT EXACTLY ELIGIBLE MYSELF AS I DON'T KNOW ANY GERMAN IT'S SUCH A BEAUTIFULLY SHARP PENCIL THOUGH THAT I HATE NOT TO WRITE WITH IT
6415-100596-0006,14.315,../data/librilight/librispeech_finetuning/1h/1/clean/6415/100596/6415-100596-0006.flac,6415,PATTY POISED THE PENCIL A MOMENT AND ABSTRACTEDLY TRACED THE NAME KATE FERRIS GEORGIE LAUGHED IF THERE SHOULD HAPPEN TO BE A KATE FERRIS IN COLLEGE SHE WOULD BE SURPRISED TO FIND HERSELF A MEMBER OF THE GERMAN CLUB
6415-100596-0007,15.355,../data/librilight/librispeech_finetuning/1h/1/clean/6415/100596/6415-100596-0007.flac,6415,AND THE INCIDENT WAS FORGOTTEN A FEW DAYS LATER THE TWO CAME IN FROM CLASS TO FIND PRISCILLA AND THE PRESIDENT OF THE GERMAN CLUB SITTING ON THE DIVAN WITH THEIR HEADS TOGETHER FRANTICALLY TURNING THE LEAVES OF THE CATALOGUE
6415-100596-0008,7.54,../data/librilight/librispeech_finetuning/1h/1/clean/6415/100596/6415-100596-0008.flac,6415,SHE ISN'T A SOPHOMORE THE PRESIDENT ANNOUNCED SHE MUST BE A FRESHMAN PRISCILLA LOOK AGAIN
6415-100596-0009,14.395,../data/librilight/librispeech_finetuning/1h/1/clean/6415/100596/6415-100596-0009.flac,6415,GEORGIE AND PATTY EXCHANGED GLANCES AND INQUIRED THE TROUBLE A GIRL NAMED KATE FERRIS HAS REGISTERED FOR THE GERMAN CLUB AND WE'VE GONE THROUGH ALL THE CLASSES AND THERE SIMPLY ISN'T ANY SUCH GIRL IN COLLEGE POSSIBLY A SPECIAL
6415-100596-0010,16.07,../data/librilight/librispeech_finetuning/1h/1/clean/6415/100596/6415-100596-0010.flac,6415,PRISCILLA PRODUCED THE REGISTRATION LIST AND TRIUMPHANTLY EXHIBITED AN UNMISTAKABLE KATE FERRIS THEY FORGOT TO PUT HER IN THE CATALOGUE I NEVER KNEW THEM TO MAKE SUCH A MISTAKE BEFORE SAID THE PRESIDENT DUBIOUSLY I DON'T BELIEVE WE'D BETTER PUT HER IN THE ROLL BOOK
6415-100596-0011,14.08,../data/librilight/librispeech_finetuning/1h/1/clean/6415/100596/6415-100596-0011.flac,6415,SEVERAL WEEKS LATER PRISCILLA WAS ENGAGED IN LABORIOUSLY TURNING THE MINUTES OF THE LAST MEETING INTO GRAMMATICAL GERMAN AND AS SHE CLOSED THE DICTIONARY AND GRAMMAR WITH A SIGH OF RELIEF SHE REMARKED TO PATTY DO YOU KNOW
911-128684-0000,16.41,../data/librilight/librispeech_finetuning/1h/1/clean/911/128684/911-128684-0000.flac,911,ARE AS DUALISTIC AS IT IS POSSIBLE TO BE THOUGHTS WE ALL NATURALLY THINK ARE MADE OF ONE KIND OF SUBSTANCE AND THINGS OF ANOTHER CONSCIOUSNESS FLOWING INSIDE OF US IN THE FORMS OF CONCEPTION OR JUDGMENT
911-128684-0001,16.44,../data/librilight/librispeech_finetuning/1h/1/clean/911/128684/911-128684-0001.flac,911,OR CONCENTRATING ITSELF IN THE SHAPE OF PASSION OR EMOTION CAN BE DIRECTLY FELT AS THE SPIRITUAL ACTIVITY WHICH IT IS AND KNOWN IN CONTRAST WITH THE SPACE FILLING OBJECTIVE CONTENT WHICH IT ENVELOPES AND ACCOMPANIES
911-128684-0002,15.5,../data/librilight/librispeech_finetuning/1h/1/clean/911/128684/911-128684-0002.flac,911,IN OPPOSITION TO THIS DUALISTIC PHILOSOPHY I TRIED IN THE FIRST ESSAY TO SHOW THAT THOUGHTS AND THINGS ARE ABSOLUTELY HOMOGENEOUS AS TO THEIR MATERIAL AND THAT THEIR OPPOSITION IS ONLY ONE OF RELATION AND OF FUNCTION
911-128684-0003,11.535,../data/librilight/librispeech_finetuning/1h/1/clean/911/128684/911-128684-0003.flac,911,THERE IS NO THOUGHT STUFF DIFFERENT FROM THING STUFF I SAID BUT THE SAME IDENTICAL PIECE OF PURE EXPERIENCE WHICH WAS THE NAME I GAVE TO THE MATERIA PRIMA OF EVERYTHING
911-128684-0004,13.465,../data/librilight/librispeech_finetuning/1h/1/clean/911/128684/911-128684-0004.flac,911,CAN STAND ALTERNATELY FOR A FACT OF CONSCIOUSNESS OR FOR A PHYSICAL REALITY ACCORDING AS IT IS TAKEN IN ONE CONTEXT OR IN ANOTHER FOR THE RIGHT UNDERSTANDING OF WHAT FOLLOWS
911-128684-0005,14.195,../data/librilight/librispeech_finetuning/1h/1/clean/911/128684/911-128684-0005.flac,911,IN OUR PLEASURES AND PAINS OUR LOVES AND FEARS AND ANGERS IN THE BEAUTY COMICALITY IMPORTANCE OR PRECIOUSNESS OF CERTAIN OBJECTS AND SITUATIONS WE HAVE I AM TOLD BY MANY CRITICS
911-128684-0006,16.475,../data/librilight/librispeech_finetuning/1h/1/clean/911/128684/911-128684-0006.flac,911,A GREAT REALM OF EXPERIENCE INTUITIVELY RECOGNIZED AS SPIRITUAL MADE AND FELT TO BE MADE OF CONSCIOUSNESS EXCLUSIVELY AND DIFFERENT IN NATURE FROM THE SPACE FILLING KIND OF BEING WHICH IS ENJOYED BY PHYSICAL OBJECTS
911-128684-0007,14.43,../data/librilight/librispeech_finetuning/1h/1/clean/911/128684/911-128684-0007.flac,911,BECAUSE I HAD TO BE SO BRIEF I NOW RETURN TO THE SUBJECT BECAUSE I BELIEVE THAT SO FAR FROM INVALIDATING MY GENERAL THESIS THESE PHENOMENA WHEN PROPERLY ANALYZED AFFORD IT POWERFUL SUPPORT
911-128684-0008,14.48,../data/librilight/librispeech_finetuning/1h/1/clean/911/128684/911-128684-0008.flac,911,THE CENTRAL POINT OF THE PURE EXPERIENCE THEORY IS THAT OUTER AND INNER ARE NAMES FOR TWO GROUPS INTO WHICH WE SORT EXPERIENCES ACCORDING TO THE WAY IN WHICH THEY ACT UPON THEIR NEIGHBORS
911-128684-0009,13.04,../data/librilight/librispeech_finetuning/1h/1/clean/911/128684/911-128684-0009.flac,911,ANY ONE CONTENT SUCH AS HARD LET US SAY CAN BE ASSIGNED TO EITHER GROUP IN THE OUTER GROUP IT IS STRONG IT ACTS ENERGETICALLY AND AGGRESSIVELY
911-128684-0010,13.3,../data/librilight/librispeech_finetuning/1h/1/clean/911/128684/911-128684-0010.flac,911,HERE WHATEVER IS HARD INTERFERES WITH THE SPACE ITS NEIGHBORS OCCUPY IT DENTS THEM IS IMPENETRABLE BY THEM AND WE CALL THE HARDNESS THEN A PHYSICAL HARDNESS
5287-39165-0000,15.615,../data/librilight/librispeech_finetuning/1h/1/other/5287/39165/5287-39165-0000.flac,5287,CHAPTER THIRTEEN DELICATE HINTS LADY LUFTON HAD BEEN GREATLY REJOICED AT THAT GOOD DEED WHICH HER SON DID IN GIVING UP HIS LEICESTERSHIRE HUNTING AND COMING TO RESIDE FOR THE WINTER AT FRAMLEY IT WAS PROPER AND BECOMING
5287-39165-0001,15.53,../data/librilight/librispeech_finetuning/1h/1/other/5287/39165/5287-39165-0001.flac,5287,AND COMFORTABLE IN THE EXTREME AN ENGLISH NOBLEMAN OUGHT TO HUNT IN THE COUNTY WHERE HE HIMSELF OWNS THE FIELDS OVER WHICH HE RIDES HE OUGHT TO RECEIVE THE RESPECT AND HONOUR DUE TO HIM FROM HIS OWN TENANTS HE OUGHT TO SLEEP UNDER A ROOF OF HIS OWN
